filename,chemistry,chemistry_id,capacity_mAh,soc,chs_score,p_runaway,runaway_binary,ohs_numeric,ohs_text,t_max_C,t_rate_Cs,v_diff_V
LCO_4000mAh-40SOC_cell1_MAX,LCO,0,4000,40,62.4996,0.625,1,,,,,
LCO_4000mAh-40SOC_cell2_MAX,LCO,0,4000,40,53.346,0.5335,1,,,,,
LCO_4000mAh-50SOC_cell1_MAX,LCO,0,4000,50,100.0,1.0,1,,,,,
LCO_4000mAh-50SOC_cell2_MAX,LCO,0,4000,50,100.0,1.0,1,,,,,
LCO_4Ah_60SOC_cell1_MAX,LCO,0,4000,60,61.2424,0.6124,1,,,,,
LCO_4Ah_60SOC_cell2_MAX,LCO,0,4000,60,100.0,1.0,1,,,,,
LCO_4Ah_70SOC_cell1_MAX,LCO,0,4000,70,100.0,1.0,1,,,,,
LCO_4Ah_100SOC_cell1_MAX,LCO,0,4000,100,100.0,1.0,1,,,,,
LFP_15Ah_0SOC_MAX,LFP,1,15000,0,14.2696,0.1427,0,,,,,
LFP_15000mAh_10SOC_max,LFP,1,15000,10,35.9046,0.359,0,,,,,
LFP_15Ah_20SOC_cell1_MAX,LFP,1,15000,20,34.0293,0.3403,0,,,,,
LFP_15Ah_40SOC_cell1_MAX,LFP,1,15000,40,41.1093,0.4111,0,,,,,
LFP_15Ah_40SOC_cell2_MAX,LFP,1,15000,40,32.6048,0.326,0,,,,,
LFP_15Ah_50SOC_cell1_MAX,LFP,1,15000,50,43.8198,0.4382,0,,,,,
LFP_15Ah_50SOC_cell2,LFP,1,15000,50,41.1004,0.411,0,,,,,
LFP_15Ah_60SOC_cell1_MAX,LFP,1,15000,60,46.2502,0.4625,0,,,,,
LFP_15Ah_60SOC_cell2_MAX,LFP,1,15000,60,49.6211,0.4962,0,,,,,
LFP_15Ah_80SOC__cell1_MAX_2,LFP,1,15000,80,55.4492,0.5545,1,,,,,
LFP_15Ah_80SOC__cell2_MAX_2,LFP,1,15000,80,53.3054,0.5331,1,,,,,
LFP_15Ah_100SOC_MAX,LFP,1,15000,100,68.7669,0.6877,1,,,,,
LFP_15Ah_100SOC_cell2_MAX,LFP,1,15000,100,65.2902,0.6529,1,,,,,
NMC_10000mAh-0SOC_cell1_MAX,NMC,2,10000,0,37.9122,0.3791,0,,,,,
NMC_10000mAh-10SOC_cell1MAX,NMC,2,10000,10,39.8122,0.3981,0,,,,,
NMC_10000mAh-20SOC_cell1_MAX,NMC,2,10000,20,5.0,0.05,0,,,,,
NMC_10000mAh-30SOC_cell1_MAX,NMC,2,10000,30,41.784,0.4178,0,,,,,
NMC_10000mAh-40SOC_cell1_MAX,NMC,2,10000,40,41.6142,0.4161,0,,,,,
NMC_10000mAh-50SOC_cell1_MAX,NMC,2,10000,50,49.169,0.4917,0,,,,,
NMC_10000mAh-50SOC_cell2_MAX,NMC,2,10000,50,46.4382,0.4644,0,,,,,
NMC_10000mAh-60SOC_cell1_MAX,NMC,2,10000,60,54.9911,0.5499,1,,,,,
NMC_10000mAh-70SOC_cell1_MAX,NMC,2,10000,70,100.0,1.0,1,,,,,
NMC_10000mAh-80SOC_cell1_MAX,NMC,2,10000,80,62.1728,0.6217,1,,,,,
NMC_10000mAh-90SOC_cell1_MAX,NMC,2,10000,90,100.0,1.0,1,,,,,
NMC_10000mAh-100SOC_cell1_MAX,NMC,2,10000,100,100.0,1.0,1,,,,,
NMC_10Ah_70SOC_cell2_MAX,NMC,2,10000,70,37.9668,0.3797,0,,,,,
